,QK Circuit Value,Key Feature,Query Feature
0,0.2673,7221: legal terminology and references,8956: references to judgment or decision-making processes
1,0.2463,"15560:  multiple segments of structured data, likely in a programming context",15577: references to tutorials and guides
2,0.2454,14956: legal terms and references to court proceedings,"15015: <span command="""">JavaScript event handling and functions related to user interactions in web development.</span>"
3,0.244,7613: references and mentions of documents or documentation,"11957: Java access modifiers, specifically ""public"" and ""protected"""
4,0.2363,14956: legal terms and references to court proceedings,7400: key political figures and their roles
5,0.2327,14956: legal terms and references to court proceedings,7950:  phrases related to technical specifications or characteristics
6,0.2217,"15560:  multiple segments of structured data, likely in a programming context",4092: references to educational backgrounds and achievements
7,0.2214,557: references to chemical or biological modifications and their implications,8578: questions and responses related to functionality and user queries
8,0.204,6749: references to influential leaders and their historical actions,12628:  references to behavioral patterns and their implications
9,0.2039,9807: specific responses and error messages in code,8366: technical terms and concepts related to data processing and computer architecture
10,0.2012,4627: references to significant figures or events in revolutionary contexts,16258: verbs and actions related to communication and interaction
11,0.1967,7221: legal terminology and references,1306: code snippets related to file operations and handling
12,0.1941,10919: terminology related to measurements and experimental procedures in scientific contexts,11939:  phrases and terms related to medical and health-related conditions
13,0.1935,"15560:  multiple segments of structured data, likely in a programming context",11044: phrases related to criminal activity and societal issues
14,0.1887,10919: terminology related to measurements and experimental procedures in scientific contexts,"12761: terms related to investment, startups, and entrepreneurial strategies"
15,0.1875,1417: references to specific gene sequences and their corresponding classifications or codes,7010:  specific numerical values and variables in a structured data format or code
16,0.1869,"5817: features related to downloading and using software applications, particularly VPNs and file managers",14958: references to commercial activities and terms
17,0.1842,1417: references to specific gene sequences and their corresponding classifications or codes,791: references to figures and diagrams in the text
18,0.1823,11094: references to scientific studies and their results,2875: references to legal proceedings and the assessment of claims within a legal context
19,0.1786,11616: information related to significant events or actions involving authorities or leaders,5751:  generational lineage or ancestral connections in narratives
20,0.1776,10919: terminology related to measurements and experimental procedures in scientific contexts,14816: references to specific medical conditions and treatments
21,0.1757,8342:  code-related keywords and concepts related to data structures and functions,15395: questions about programming or troubleshooting code
22,0.1757,"3030: proper nouns, particularly names of people and entities",9309: elements related to political processes and campaign activities
23,0.1749,59: code comments and documentation structures within programming code,6613: keywords related to residential and urban development projects
24,0.1748,13492: numerical data and date representations,9800: specific licensing or regulatory terms related to software or products
25,0.173,16336: terms related to medical procedures and diagnostics,11275:  default export statements in code
26,0.171,9395: phrases related to strategic planning and development,4989:  references to concepts or discussions surrounding NULL values and their implications in various contexts
27,0.1692,"7985: occurrences of the word ""some"" and its variations",7222: references to family activities and bonding experiences
28,0.1688,8793: themes related to romantic relationships and affairs,16258: verbs and actions related to communication and interaction
29,0.1687,5185: concepts related to food categories and chemical processes,7010:  specific numerical values and variables in a structured data format or code
30,0.166,499: features and attributes related to product descriptions and specifications,13337: expressions or phrases indicating uncertainty or potential missed opportunities
31,0.166,3004: references to death and memorialization,"11957: Java access modifiers, specifically ""public"" and ""protected"""
32,0.1656,10919: terminology related to measurements and experimental procedures in scientific contexts,1261: reasons or justifications for actions or beliefs
33,0.1644,11281: expressions of disappointment and sadness,15739: references to medical diagnosis and assessment processes
34,0.1635,13357: references to Asia and its geopolitical significance,2621: terms related to astrocyte biology and their role in lipid metabolism
35,0.163,1122: LaTeX formatting elements and mathematical symbols,6613: keywords related to residential and urban development projects
36,0.163,"14061: names of groups, populations, or medical conditions","11957: Java access modifiers, specifically ""public"" and ""protected"""
37,0.162,14956: legal terms and references to court proceedings,11678: discussions of health risks and potential consequences related to medical conditions
38,0.1619,1868: technical terminology and references related to organizations or specific fields,11891:  phrases that indicate doubt or questioning
39,0.1611,11616: information related to significant events or actions involving authorities or leaders,2263: terms related to scientific measurements and statistical analysis
40,0.1608,9162: references to academic institutions and locations,14958: references to commercial activities and terms
41,0.1599,8294: predictions related to economic and social changes in the future,11891:  phrases that indicate doubt or questioning
42,0.158,10194: parentheses and related syntax in programming code,"11957: Java access modifiers, specifically ""public"" and ""protected"""
43,0.1576,13065: elements related to encoding and document processing in programming contexts,6606: mentions of celebrity names and news articles related to them
44,0.1575,4362: phrases and expressions related to uncertainty and conditions in various contexts,5751:  generational lineage or ancestral connections in narratives
45,0.1555,"15560:  multiple segments of structured data, likely in a programming context","10990: references to specific software, technical terms, and business entities"
46,0.1554,8342:  code-related keywords and concepts related to data structures and functions,7117: phrases indicating caution or recommendations to ensure certain actions are taken
47,0.155,4581: information related to specific scientific and technical categories,11275:  default export statements in code
48,0.1548,9807: specific responses and error messages in code,8265: terms related to goalkeeping and performance in sports
49,0.1539,13635: words related to voting and elections,"11957: Java access modifiers, specifically ""public"" and ""protected"""
50,0.1539,13755:  statements and arguments related to legal proceedings and judicial responses,14958: references to commercial activities and terms
51,0.1539,"4252:  references to the evaluation, validation, or targeting of certain subjects or concepts",9640: mathematical symbols and expressions related to equations and functions
52,0.1528,11616: information related to significant events or actions involving authorities or leaders,7222: references to family activities and bonding experiences
53,0.1526,10434: mathematical expressions and code structure in formatted documents,13100: information related to gaming
54,0.1526,4843: future aspirations and plans related to personal goals and achievements,11891:  phrases that indicate doubt or questioning
55,0.1522,9807: specific responses and error messages in code,8951: contexts describing tasks or jobs as easy or simple
56,0.1522,"3030: proper nouns, particularly names of people and entities",10665: references to countries and their relations or statistics
57,0.152,9807: specific responses and error messages in code,7106: terms related to established criteria or standards
58,0.1519,2527: references to presence or existence in various contexts,1594: quantities and values related to time and costs
59,0.1519,9807: specific responses and error messages in code,6823: references to interviews and discussions involving specific individuals or groups
60,0.1517,1957: conditional statements and logical constructs in the text,6613: keywords related to residential and urban development projects
61,0.1514,11616: information related to significant events or actions involving authorities or leaders,7524: key terms related to competition and performance metrics
62,0.1505,4520: references to rushing yards and performance metrics in sports,6613: keywords related to residential and urban development projects
63,0.1504,4362: phrases and expressions related to uncertainty and conditions in various contexts,2263: terms related to scientific measurements and statistical analysis
64,0.1501,"7985: occurrences of the word ""some"" and its variations",7524: key terms related to competition and performance metrics
65,0.1499,1473: technical terms and data structures related to programming and coding contexts,8527: references to companies and corporate entities
66,0.1497,10919: terminology related to measurements and experimental procedures in scientific contexts,"9173: closing brackets and semicolons, indicating code termination and structure"
67,0.1495,10919: terminology related to measurements and experimental procedures in scientific contexts,748: terms related to political or societal structures and their consequences
68,0.1494,6163:  LaTeX formatting commands and structure in a document,15972: specific locations and their associated names or organizations
69,0.1494,12100: dialogue or conversational exchanges,"11410: instances of the word ""once"""
70,0.1492,10919: terminology related to measurements and experimental procedures in scientific contexts,7017:  technical and programming-related terminology
71,0.1489,14356: numbers and dates related to legal or procedural contexts,"11957: Java access modifiers, specifically ""public"" and ""protected"""
72,0.1489,7748: code segments that involve object instantiation and assignments,2107: references to emotional states and moral values
73,0.1477,11939:  phrases and terms related to medical and health-related conditions,7222: references to family activities and bonding experiences
74,0.1475,11939:  phrases and terms related to medical and health-related conditions,13337: expressions or phrases indicating uncertainty or potential missed opportunities
75,0.1475,14060: specific chemical compounds and their variations,15577: references to tutorials and guides
