,QK Circuit Value,Key Feature,Query Feature
0,-0.1015,3744:  references to the Hall of Fame and related ceremonies or inductions,8517:  numerical patterns or symbols related to lists or sequences
1,0.0976,3476: references to surface-related concepts and properties,8517:  numerical patterns or symbols related to lists or sequences
2,-0.0821,15107: structured data or variables related to types and their attributes,8517:  numerical patterns or symbols related to lists or sequences
3,-0.0793,10211: scientific or medical terminology related to diseases and treatment options,3160:  programming syntax and coding structures
4,-0.07886,2842: numbers and percentage values related to statistical analysis,8517:  numerical patterns or symbols related to lists or sequences
5,-0.07434,10553: references to military threats and potential risks involving individuals,10211: scientific or medical terminology related to diseases and treatment options
6,-0.0731,16134: references to interviews and conversations,8517:  numerical patterns or symbols related to lists or sequences
7,-0.0681,1681: references to scams and fraudulent activities,5864: terms related to financial transactions and deposits
8,-0.06793,3598: terms associated with technical specifications and measurements,16241: legal terminology related to court cases and appeals
9,-0.06726,"838: technical terms related to computer science, programming languages, or data structures",5864: terms related to financial transactions and deposits
10,0.0662,1374: common symbols or mathematical notations related to set theory and graph theory,8517:  numerical patterns or symbols related to lists or sequences
11,-0.0653,11614:  code snippets and programming constructs,8517:  numerical patterns or symbols related to lists or sequences
12,0.06494,7352:  structured data formats and attributes within documents,6062:  phrases related to authority and compliance
13,-0.06476,6594:  numerical values related to quantities or measurements,8517:  numerical patterns or symbols related to lists or sequences
14,0.0642,12570: references to faces or facial features,14662: various sounds and noises described in the text
15,-0.0642,"12888:  punctuation marks, particularly periods",8517:  numerical patterns or symbols related to lists or sequences
16,-0.064,12523: terms related to regulations and conditions for financial and research contexts,8517:  numerical patterns or symbols related to lists or sequences
17,0.0637,14859: specific names and references related to locations and events,5864: terms related to financial transactions and deposits
18,-0.06366,"7426:  fragments of code or programming-related syntax, specifically within a structured or formatted context",8517:  numerical patterns or symbols related to lists or sequences
19,-0.0633,4118: specific programming constructs or syntactic elements related to function definitions and method calls,2737:  phrases related to legal expenses and costs
20,0.0628,13408: lists of numbered items and their classifications or evaluations,8517:  numerical patterns or symbols related to lists or sequences
21,0.0621,"2069: specific proper nouns, particularly names and titles",5864: terms related to financial transactions and deposits
22,0.062,3302: phrases involving details of legal cases and actions taken within them,8517:  numerical patterns or symbols related to lists or sequences
23,0.0608,10553: references to military threats and potential risks involving individuals,3160:  programming syntax and coding structures
24,0.0606,7352:  structured data formats and attributes within documents,14662: various sounds and noises described in the text
25,0.0606,11087: specific structural elements or commands in programming and mathematical contexts,12085: instructions and guides for how to perform tasks or solve problems
26,-0.06033,10211: scientific or medical terminology related to diseases and treatment options,10553: references to military threats and potential risks involving individuals
27,0.06033,6576: HTML and XML markup tags,8517:  numerical patterns or symbols related to lists or sequences
28,0.0591,"759: references to fakeness or deception, particularly in the context of news and representations",8517:  numerical patterns or symbols related to lists or sequences
29,0.05896,12202: numerical values and their relationships in a data context,8517:  numerical patterns or symbols related to lists or sequences
30,-0.05865,3230: references to matrices and array structures,6605:  frequencies of occurrences or items in lists and counts
31,-0.05853,4208: numerical data and statistical values,8517:  numerical patterns or symbols related to lists or sequences
32,-0.0584,7352:  structured data formats and attributes within documents,2737:  phrases related to legal expenses and costs
33,0.05804,5815:  numerical or tabular data relevant to various contexts,9295: terms related to programming exceptions and errors in software development
34,-0.05774,6605:  frequencies of occurrences or items in lists and counts,"3190: details related to crime scenes, residences, and actions taking place within homes"
35,0.0576,"15335: references to academic departments, institutions, and legal entities",13384: complex structured elements in data
36,-0.05753,5815:  numerical or tabular data relevant to various contexts,11541:  coding elements related to data parsing and storage operations
37,-0.05713,6100:  temporal references or time indicators in the text,8517:  numerical patterns or symbols related to lists or sequences
38,-0.05698,12339:  words indicating success or failure in file operations and other processes,8517:  numerical patterns or symbols related to lists or sequences
39,-0.05637,6605:  frequencies of occurrences or items in lists and counts,9916: technical terms and components related to mechanical or electrical fittings and assemblies
40,-0.05585,7190:  programming functions and their components,8517:  numerical patterns or symbols related to lists or sequences
41,0.05566,13844: references to social connections and communal engagement,8517:  numerical patterns or symbols related to lists or sequences
42,-0.05554,1974: references to design elements that maximize space efficiency,513: expressions of unfortunate circumstances or negative outcomes
43,-0.05533,10553: references to military threats and potential risks involving individuals,16241: legal terminology related to court cases and appeals
44,0.05502,2989: statistical significance indicators in research findings,16241: legal terminology related to court cases and appeals
45,-0.055,13220: patterns of variable declarations and return statements in code,8517:  numerical patterns or symbols related to lists or sequences
46,-0.0548,11928: code related to function definitions and control flow statements,8517:  numerical patterns or symbols related to lists or sequences
47,0.05475,12958: terms related to product quality and effectiveness,6605:  frequencies of occurrences or items in lists and counts
48,0.05466,10186:  references to military events and significant historical actions,6605:  frequencies of occurrences or items in lists and counts
49,0.0546,4436: topics related to technology and data management,16093: words related to physical interactions and conflicts
