,OV Circuit Value,Value Feature,Output Feature
0,1.384,7174: special character sequences and codes,12340: instances of copyright-related terms and reserved rights
1,-1.377,7174: special character sequences and codes,9832: keywords related to customer inquiries and product availability
2,1.175,13972: connections or relationships indicated by conjunctions in the text,9832: keywords related to customer inquiries and product availability
3,-1.151,13972: connections or relationships indicated by conjunctions in the text,12340: instances of copyright-related terms and reserved rights
4,0.991,"8492:  code-related syntax and structure elements, particularly in configuration or build files",5790: references to personal experiences with movies and shows
5,0.928,7342: terms associated with healthcare and intervention strategies,6896:  references to traditional Chinese medicine and its related studies
6,0.923,6948:  file paths or import statements within code,761: references to state-related programming constructs and HTML document manipulation commands
7,0.9224,242:  conjunctions and related terms that indicate addition or connection,"12168: meta-analytical reflections on progress, purpose, and societal issues"
8,0.9097,3040: important advisories or recommendations,10151: quantitative assessments and comparisons in research or analytical texts
9,-0.908,242:  conjunctions and related terms that indicate addition or connection,5790: references to personal experiences with movies and shows
10,0.907,918: reported speech and quotations,12098:  system calls and related attributes in structured data or code
11,-0.902,"8492:  code-related syntax and structure elements, particularly in configuration or build files","12168: meta-analytical reflections on progress, purpose, and societal issues"
12,-0.8594,7342: terms associated with healthcare and intervention strategies,10151: quantitative assessments and comparisons in research or analytical texts
13,-0.846,3040: important advisories or recommendations,6896:  references to traditional Chinese medicine and its related studies
14,0.7783,15388: various punctuation marks and structural elements in code,5269:  signal names related to systems and requests in programming contexts
15,-0.77,"50:  structural elements and organization in text, often relating to code or data formatting",5269:  signal names related to systems and requests in programming contexts
16,0.743,6467: terms related to medical descriptions and conditions,"8198: specific numeric sequences or indices, likely indicating dates or organized listings"
17,0.7417,13702: elements related to programming constructs and data structures,"1508:  references to coding and programming concepts, particularly related to user input and functionalities"
18,-0.7197,2355: statements related to women's rights and societal expectations regarding gender roles,5790: references to personal experiences with movies and shows
19,-0.709,13124: specific terms related to limitations and deficits in contexts involving nutrients or resources,14656: place names and locations
20,-0.704,5261:  numerical values and measurements,12098:  system calls and related attributes in structured data or code
21,-0.6953,2119: elements related to systematic processes or methodologies in various contexts,1817: numeric values and their associated parameters in structured data formats
22,0.6953,12494: keywords and phrases related to memory,14656: place names and locations
23,0.695,13124: specific terms related to limitations and deficits in contexts involving nutrients or resources,15198: references to academic journals and their citations
24,0.6855,11584: terms and concepts related to rural housing and support programs,9832: keywords related to customer inquiries and product availability
25,0.683,12094: scientific and technical terms related to experimental results and methodologies,"10426:  HTML table structures or elements, specifically those with tbody and thead tags"
26,0.676,2355: statements related to women's rights and societal expectations regarding gender roles,"12168: meta-analytical reflections on progress, purpose, and societal issues"
27,0.6704,15537:  numeric values associated with coding and programming parameters,2192: references to Israel and its related entities or concepts
28,-0.658,6467: terms related to medical descriptions and conditions,2192: references to Israel and its related entities or concepts
29,-0.651,12494: keywords and phrases related to memory,15198: references to academic journals and their citations
30,0.6445,14269:  references to government budgets and financial decisions,1817: numeric values and their associated parameters in structured data formats
31,-0.6445,15537:  numeric values associated with coding and programming parameters,"8198: specific numeric sequences or indices, likely indicating dates or organized listings"
32,0.6445,"4309: references to social media, particularly Facebook and Patreon links",12098:  system calls and related attributes in structured data or code
33,0.6436,2119: elements related to systematic processes or methodologies in various contexts,5920: geographical and administrative information about places
34,0.641,6948:  file paths or import statements within code,12098:  system calls and related attributes in structured data or code
35,-0.634,11584: terms and concepts related to rural housing and support programs,12340: instances of copyright-related terms and reserved rights
36,0.632,14729: expressions of positive emotions and announcements related to achievements or collaboration,8364: references to data structures and properties in programming contexts
37,-0.621,2119: elements related to systematic processes or methodologies in various contexts,9281:  code-related elements and functions within programming contexts
38,0.617,8183: words related to causes and effects,9832: keywords related to customer inquiries and product availability
39,-0.6167,2404: language related to legal or financial obligations,2763: technical terms related to finance and secure payment processes
40,-0.6147,8183: words related to causes and effects,12340: instances of copyright-related terms and reserved rights
41,0.6035,15026: mentions of environmental facilities and their management,2763: technical terms related to finance and secure payment processes
42,0.603,5261:  numerical values and measurements,761: references to state-related programming constructs and HTML document manipulation commands
43,-0.589,7961: phrases and terms related to problem-solving and mathematical expressions,"10426:  HTML table structures or elements, specifically those with tbody and thead tags"
44,0.5884,11584: terms and concepts related to rural housing and support programs,"12168: meta-analytical reflections on progress, purpose, and societal issues"
45,-0.5884,14269:  references to government budgets and financial decisions,5920: geographical and administrative information about places
