,QKOV,Key,Query,Value
0,0.2761,words related to physical interactions and conflicts,phrases indicating logical reasoning or conclusions drawn from evidence, phrases related to marriage and family relationships
1,-0.2761,words related to physical interactions and conflicts, frequencies of occurrences or items in lists and counts, references to time-related events or durations
2,-0.2761,words related to physical interactions and conflicts,the initialization of a process or system, references to time-related events or durations
3,0.2761,words related to physical interactions and conflicts,the initialization of a process or system, phrases related to marriage and family relationships
4,0.2761,words related to physical interactions and conflicts, coordinating conjunctions used to connect clauses or phrases, phrases related to marriage and family relationships
5,-0.2761,words related to physical interactions and conflicts,phrases indicating logical reasoning or conclusions drawn from evidence, references to time-related events or durations
6,-0.2761,words related to physical interactions and conflicts,words related to physical interactions and conflicts, references to time-related events or durations
7,0.2761,words related to physical interactions and conflicts,words related to physical interactions and conflicts, phrases related to marriage and family relationships
8,0.2761,words related to physical interactions and conflicts, frequencies of occurrences or items in lists and counts, phrases related to marriage and family relationships
9,-0.2761,words related to physical interactions and conflicts, coordinating conjunctions used to connect clauses or phrases, references to time-related events or durations
10,-0.2703,expressions of unfortunate circumstances or negative outcomes, programming constructs related to data types and structures, phrases related to marriage and family relationships
11,-0.2703,expressions of unfortunate circumstances or negative outcomes,expressions of unfortunate circumstances or negative outcomes, phrases related to marriage and family relationships
12,-0.2703,expressions of unfortunate circumstances or negative outcomes,references to design elements that maximize space efficiency, phrases related to marriage and family relationships
13,0.269,expressions of unfortunate circumstances or negative outcomes,expressions of unfortunate circumstances or negative outcomes, references to time-related events or durations
14,0.269,expressions of unfortunate circumstances or negative outcomes,references to design elements that maximize space efficiency, references to time-related events or durations
15,0.269,expressions of unfortunate circumstances or negative outcomes, programming constructs related to data types and structures, references to time-related events or durations
16,0.2476,punctuation and sentence-ending markers, coordinating conjunctions used to connect clauses or phrases,elements related to error handling and message formatting in code
17,0.2317,terms related to variation and its impact in different contexts, structured data presentation and numerical information,elements related to error handling and message formatting in code
18,0.2317,terms related to variation and its impact in different contexts, coordinating conjunctions used to connect clauses or phrases,elements related to error handling and message formatting in code
19,0.2317,terms related to variation and its impact in different contexts, frequencies of occurrences or items in lists and counts,elements related to error handling and message formatting in code
20,0.2317,terms related to variation and its impact in different contexts,technical terms and concepts related to medical treatments and procedures,elements related to error handling and message formatting in code
21,0.2317,terms related to variation and its impact in different contexts,questions or statements expressing confusion or concern,elements related to error handling and message formatting in code
22,0.2284,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops, strings that indicate formatting or structured data outputs
23,0.2284,specific structural elements or commands in programming and mathematical contexts,references to diabetes, strings that indicate formatting or structured data outputs
24,0.2284,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts", strings that indicate formatting or structured data outputs
25,0.2284,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation, strings that indicate formatting or structured data outputs
26,0.2284,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles", strings that indicate formatting or structured data outputs
27,0.2284,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces, strings that indicate formatting or structured data outputs
28,0.2284,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations, strings that indicate formatting or structured data outputs
29,0.2284,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts, strings that indicate formatting or structured data outputs
30,0.2284,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings, strings that indicate formatting or structured data outputs
31,0.2284,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers, strings that indicate formatting or structured data outputs
32,0.2284,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""", strings that indicate formatting or structured data outputs
33,0.2284,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts, strings that indicate formatting or structured data outputs
34,0.2284,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements, strings that indicate formatting or structured data outputs
35,0.2284,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming, strings that indicate formatting or structured data outputs
36,0.2284,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code, strings that indicate formatting or structured data outputs
37,0.2284,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts, strings that indicate formatting or structured data outputs
38,0.2284,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives, strings that indicate formatting or structured data outputs
39,0.2284,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems, strings that indicate formatting or structured data outputs
40,0.2284,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation", strings that indicate formatting or structured data outputs
41,-0.2278,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements,mathematical terms and symbols
42,-0.2278,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation",mathematical terms and symbols
43,-0.2278,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles",mathematical terms and symbols
44,-0.2278,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces,mathematical terms and symbols
