,QK Circuit Value,Key Feature,Query Feature
0,1.918,8848:  numerical data and statistics,8848:  numerical data and statistics
1,-1.858,8003: sentences that express opinions or reflections on societal issues,8848:  numerical data and statistics
2,-1.797,8848:  numerical data and statistics,8003: sentences that express opinions or reflections on societal issues
3,1.746,8003: sentences that express opinions or reflections on societal issues,8003: sentences that express opinions or reflections on societal issues
4,1.341,6409: conditional statements and expressions of uncertainty or potential outcomes,6409: conditional statements and expressions of uncertainty or potential outcomes
5,-1.259,15108:  concepts and discussions related to health care policies and decision-making processes,6409: conditional statements and expressions of uncertainty or potential outcomes
6,-1.237,6409: conditional statements and expressions of uncertainty or potential outcomes,15108:  concepts and discussions related to health care policies and decision-making processes
7,1.168,15108:  concepts and discussions related to health care policies and decision-making processes,15108:  concepts and discussions related to health care policies and decision-making processes
8,1.083,5549: statistical numbers and numerical data related to measurements,5549: statistical numbers and numerical data related to measurements
9,-1.028,406: issues related to functionality and errors in programming or web development,5549: statistical numbers and numerical data related to measurements
10,-0.9546,5549: statistical numbers and numerical data related to measurements,406: issues related to functionality and errors in programming or web development
11,0.902,406: issues related to functionality and errors in programming or web development,406: issues related to functionality and errors in programming or web development
12,-0.8667,3673: terms and phrases related to reproductive health and fertility,5549: statistical numbers and numerical data related to measurements
13,-0.8457,3598: terms associated with technical specifications and measurements,2989: statistical significance indicators in research findings
14,0.8374,3598: terms associated with technical specifications and measurements,3598: terms associated with technical specifications and measurements
15,-0.8135,2989: statistical significance indicators in research findings,3598: terms associated with technical specifications and measurements
16,0.7886,2989: statistical significance indicators in research findings,2989: statistical significance indicators in research findings
17,-0.745,5549: statistical numbers and numerical data related to measurements,3673: terms and phrases related to reproductive health and fertility
18,0.745,3673: terms and phrases related to reproductive health and fertility,406: issues related to functionality and errors in programming or web development
19,0.73,3673: terms and phrases related to reproductive health and fertility,3673: terms and phrases related to reproductive health and fertility
20,0.6816,406: issues related to functionality and errors in programming or web development,3673: terms and phrases related to reproductive health and fertility
21,0.621,573: references to personal experiences and perceptions,573: references to personal experiences and perceptions
22,-0.5557,6013: scientific terms related to genetic mutations and mathematical concepts,6409: conditional statements and expressions of uncertainty or potential outcomes
23,-0.5283,6409: conditional statements and expressions of uncertainty or potential outcomes,6013: scientific terms related to genetic mutations and mathematical concepts
24,-0.5283,573: references to personal experiences and perceptions,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts
25,0.499,15108:  concepts and discussions related to health care policies and decision-making processes,6013: scientific terms related to genetic mutations and mathematical concepts
26,0.4941,10937: network communication operations and protocols,10937: network communication operations and protocols
27,0.4856,2843: code structure and definitions commonly used in programming,573: references to personal experiences and perceptions
28,0.481,6013: scientific terms related to genetic mutations and mathematical concepts,15108:  concepts and discussions related to health care policies and decision-making processes
29,-0.4746,8848:  numerical data and statistics,1560: instances of research study references and methodological language
30,-0.456,5549: statistical numbers and numerical data related to measurements,3261: questions related to personal experiences and advice
31,-0.4558,6409: conditional statements and expressions of uncertainty or potential outcomes,"4618: references to time, specifically the concept of ""year"" and its variants"
32,0.4553,9127: words or phrases that describe strength or capability,573: references to personal experiences and perceptions
33,-0.4539,8822: highly technical and mathematical terminology related to algebraic geometry and abstract algebra concepts,573: references to personal experiences and perceptions
34,-0.4531,5549: statistical numbers and numerical data related to measurements,9567: instances of common nouns and phrases related to food and dining contexts
35,0.4512,10937: network communication operations and protocols,2352: mentions of specific individuals and organizations involved in political or legal contexts
36,0.4463,406: issues related to functionality and errors in programming or web development,6409: conditional statements and expressions of uncertainty or potential outcomes
37,-0.4453,3261: questions related to personal experiences and advice,5549: statistical numbers and numerical data related to measurements
38,-0.4385,9567: instances of common nouns and phrases related to food and dining contexts,5549: statistical numbers and numerical data related to measurements
39,0.4373,406: issues related to functionality and errors in programming or web development,3261: questions related to personal experiences and advice
